---- 0.01 ----
y= 0.1 L= 0.000801067888643
y= 0.31623 L= 0.0045016875364
y= 1.0 L= 0.0253333087232
y= 1.7783 L= 0.0599160374225
y= 3.1623 L= 0.14138029626
y= 5.6235 L= 0.332095325948
y= 10.0 L= 0.770035739198
y= 14.678 L= 1.33838519719
y= 21.544 L= 2.449217694
y= 31.623 L= 3.06096868504
y= 56.235 L= 3.82440967172
y= 100.0 L= 4.49481856611
y= 316.23 L= 5.72296382759
y= 1000.0 L= 6.89729868842
---- 0.02154 ----
y= 0.1 L= 0.00114283465472
y= 0.31623 L= 0.00640091107446
y= 1.0 L= 0.0359773845608
y= 1.7783 L= 0.0849608431497
y= 3.1623 L= 0.199882079577
y= 5.6235 L= 0.466687860515
y= 10.0 L= 1.07120122515
y= 14.678 L= 1.8370607298
y= 21.544 L= 2.67712461219
y= 31.623 L= 3.2001238892
y= 56.235 L= 3.89418546461
y= 100.0 L= 4.53137661282
y= 316.23 L= 5.73377971014
y= 1000.0 L= 6.90064452493
---- 0.046416 ----
y= 0.1 L= 0.00154158559386
y= 0.31623 L= 0.00865835909169
y= 1.0 L= 0.0486105601343
y= 1.7783 L= 0.114268660423
y= 3.1623 L= 0.26795916066
y= 5.6235 L= 0.623504915133
y= 10.0 L= 1.41752843526
y= 14.678 L= 2.29343130342
y= 21.544 L= 2.81635892449
y= 31.623 L= 3.28749808232
y= 56.235 L= 3.93938265704
y= 100.0 L= 4.55554844749
y= 316.23 L= 5.74107760852
y= 1000.0 L= 6.90291775427
